model_name,pw_name,dataset_name,fold_num,acc,f1,mcc,tp,fp,tn,fn,recall,precision,specifity,fpr,tpr,fnr,fdr
nb,amine_and_polyamine,test_df,6,0.8269581056466302,0.2748091603053435,0.34927003810355245,18,94,436,1,0.16071428571428573,0.16071428571428573,0.8226415094339623,0.17735849056603772,0.9473684210526315,0.05263157894736842,0.8392857142857143
nb,amine_and_polyamine,test_df,7,0.8469945355191257,0.3114754098360656,0.39399225320464365,19,84,446,0,0.18446601941747573,0.18446601941747573,0.8415094339622642,0.15849056603773584,1.0,0.0,0.8155339805825242
nb,amine_and_polyamine,test_df,8,0.8287795992714025,0.265625,0.33044708267236944,17,92,438,2,0.1559633027522936,0.1559633027522936,0.8264150943396227,0.17358490566037735,0.8947368421052632,0.10526315789473684,0.8440366972477065
nb,amine_and_polyamine,test_df,9,0.8378870673952641,0.2644628099173554,0.33072245247606075,16,87,444,2,0.1553398058252427,0.1553398058252427,0.8361581920903954,0.1638418079096045,0.8888888888888888,0.1111111111111111,0.8446601941747572
nb,amine_and_polyamine,test_df,10,0.8193430656934306,0.23255813953488372,0.28923684229965246,15,96,434,3,0.13513513513513514,0.13513513513513514,0.8188679245283019,0.1811320754716981,0.8333333333333334,0.16666666666666666,0.8648648648648649
dt,amine_and_polyamine,test_df,1,0.9908925318761385,0.8571428571428572,0.8558341633822967,15,1,529,4,0.9375,0.9375,0.9981132075471698,0.0018867924528301887,0.7894736842105263,0.21052631578947367,0.0625
dt,amine_and_polyamine,test_df,2,0.9908925318761385,0.8484848484848484,0.8543744673429879,14,0,530,5,1.0,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,0.0
dt,amine_and_polyamine,test_df,3,0.9890710382513661,0.8235294117647058,0.8240610947640803,14,1,529,5,0.9333333333333333,0.9333333333333333,0.9981132075471698,0.0018867924528301887,0.7368421052631579,0.2631578947368421,0.06666666666666667
dt,amine_and_polyamine,test_df,4,0.994535519125683,0.9230769230769231,0.920571354856677,18,2,528,1,0.9,0.9,0.9962264150943396,0.0037735849056603774,0.9473684210526315,0.05263157894736842,0.1
dt,amine_and_polyamine,test_df,5,0.994535519125683,0.9142857142857143,0.9150767501553241,16,0,530,3,1.0,1.0,1.0,0.0,0.8421052631578947,0.15789473684210525,0.0
dt,amine_and_polyamine,test_df,6,0.9908925318761385,0.8571428571428572,0.8558341633822967,15,1,529,4,0.9375,0.9375,0.9981132075471698,0.0018867924528301887,0.7894736842105263,0.21052631578947367,0.0625
dt,amine_and_polyamine,test_df,7,0.9963570127504554,0.9444444444444444,0.9441256112226389,17,0,530,2,1.0,1.0,1.0,0.0,0.8947368421052632,0.10526315789473684,0.0
dt,amine_and_polyamine,test_df,8,0.994535519125683,0.9230769230769231,0.920571354856677,18,2,528,1,0.9,0.9,0.9962264150943396,0.0037735849056603774,0.9473684210526315,0.05263157894736842,0.1
dt,amine_and_polyamine,test_df,9,0.9890710382513661,0.8125000000000001,0.8137284918931517,13,1,530,5,0.9285714285714286,0.9285714285714286,0.9981167608286252,0.0018832391713747645,0.7222222222222222,0.2777777777777778,0.07142857142857142
dt,amine_and_polyamine,test_df,10,0.9945255474452555,0.9142857142857143,0.9118577895383991,16,1,529,2,0.9411764705882353,0.9411764705882353,0.9981132075471698,0.0018867924528301887,0.8888888888888888,0.1111111111111111,0.058823529411764705
mlp,amine_and_polyamine,test_df,1,0.994535519125683,0.918918918918919,0.9164520547965659,17,1,529,2,0.9444444444444444,0.9444444444444444,0.9981132075471698,0.0018867924528301887,0.8947368421052632,0.10526315789473684,0.05555555555555555
mlp,amine_and_polyamine,test_df,2,0.9890710382513661,0.8235294117647058,0.8240610947640803,14,1,529,5,0.9333333333333333,0.9333333333333333,0.9981132075471698,0.0018867924528301887,0.7368421052631579,0.2631578947368421,0.06666666666666667
mlp,amine_and_polyamine,test_df,3,0.9908925318761385,0.8571428571428572,0.8558341633822967,15,1,529,4,0.9375,0.9375,0.9981132075471698,0.0018867924528301887,0.7894736842105263,0.21052631578947367,0.0625
mlp,amine_and_polyamine,test_df,4,0.994535519125683,0.9230769230769231,0.920571354856677,18,2,528,1,0.9,0.9,0.9962264150943396,0.0037735849056603774,0.9473684210526315,0.05263157894736842,0.1
mlp,amine_and_polyamine,test_df,5,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
mlp,amine_and_polyamine,test_df,6,0.9890710382513661,0.8235294117647058,0.8240610947640803,14,1,529,5,0.9333333333333333,0.9333333333333333,0.9981132075471698,0.0018867924528301887,0.7368421052631579,0.2631578947368421,0.06666666666666667
mlp,amine_and_polyamine,test_df,7,0.994535519125683,0.9230769230769231,0.920571354856677,18,2,528,1,0.9,0.9,0.9962264150943396,0.0037735849056603774,0.9473684210526315,0.05263157894736842,0.1
mlp,amine_and_polyamine,test_df,8,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
mlp,amine_and_polyamine,test_df,9,0.9927140255009107,0.8823529411764706,0.8802298742955607,15,1,530,3,0.9375,0.9375,0.9981167608286252,0.0018832391713747645,0.8333333333333334,0.16666666666666666,0.0625
mlp,amine_and_polyamine,test_df,10,0.9945255474452555,0.9142857142857143,0.9118577895383991,16,1,529,2,0.9411764705882353,0.9411764705882353,0.9981132075471698,0.0018867924528301887,0.8888888888888888,0.1111111111111111,0.058823529411764705
knn,amine_and_polyamine,test_df,1,0.9963570127504554,0.9444444444444444,0.9441256112226389,17,0,530,2,1.0,1.0,1.0,0.0,0.8947368421052632,0.10526315789473684,0.0
knn,amine_and_polyamine,test_df,2,0.9908925318761385,0.8484848484848484,0.8543744673429879,14,0,530,5,1.0,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,0.0
knn,amine_and_polyamine,test_df,3,0.994535519125683,0.9142857142857143,0.9150767501553241,16,0,530,3,1.0,1.0,1.0,0.0,0.8421052631578947,0.15789473684210525,0.0
knn,amine_and_polyamine,test_df,4,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
knn,amine_and_polyamine,test_df,5,0.9963570127504554,0.9444444444444444,0.9441256112226389,17,0,530,2,1.0,1.0,1.0,0.0,0.8947368421052632,0.10526315789473684,0.0
knn,amine_and_polyamine,test_df,6,0.994535519125683,0.9142857142857143,0.9150767501553241,16,0,530,3,1.0,1.0,1.0,0.0,0.8421052631578947,0.15789473684210525,0.0
knn,amine_and_polyamine,test_df,7,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
knn,amine_and_polyamine,test_df,8,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
knn,amine_and_polyamine,test_df,9,0.9963570127504554,0.9411764705882353,0.9410385066081646,16,0,531,2,1.0,1.0,1.0,0.0,0.8888888888888888,0.1111111111111111,0.0
knn,amine_and_polyamine,test_df,10,0.9945255474452555,0.9090909090909091,0.9102982488248748,15,0,530,3,1.0,1.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0
rf,amine_and_polyamine,test_df,1,0.9927140255009107,0.8823529411764706,0.8851892586642939,15,0,530,4,1.0,1.0,1.0,0.0,0.7894736842105263,0.21052631578947367,0.0
rf,amine_and_polyamine,test_df,2,0.9890710382513661,0.8125000000000001,0.8225274787264044,13,0,530,6,1.0,1.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0
rf,amine_and_polyamine,test_df,3,0.9908925318761385,0.8484848484848484,0.8543744673429879,14,0,530,5,1.0,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,0.0
rf,amine_and_polyamine,test_df,4,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
rf,amine_and_polyamine,test_df,5,0.994535519125683,0.9142857142857143,0.9150767501553241,16,0,530,3,1.0,1.0,1.0,0.0,0.8421052631578947,0.15789473684210525,0.0
rf,amine_and_polyamine,test_df,6,0.9927140255009107,0.8823529411764706,0.8851892586642939,15,0,530,4,1.0,1.0,1.0,0.0,0.7894736842105263,0.21052631578947367,0.0
rf,amine_and_polyamine,test_df,7,0.9963570127504554,0.9444444444444444,0.9441256112226389,17,0,530,2,1.0,1.0,1.0,0.0,0.8947368421052632,0.10526315789473684,0.0
rf,amine_and_polyamine,test_df,8,0.9963570127504554,0.9444444444444444,0.9441256112226389,17,0,530,2,1.0,1.0,1.0,0.0,0.8947368421052632,0.10526315789473684,0.0
rf,amine_and_polyamine,test_df,9,0.9908925318761385,0.8387096774193548,0.8458635082723841,13,0,531,5,1.0,1.0,1.0,0.0,0.7222222222222222,0.2777777777777778,0.0
rf,amine_and_polyamine,test_df,10,0.9890510948905109,0.8,0.8119137762715339,12,0,530,6,1.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0
sgd,amine_and_polyamine,test_df,1,0.9908925318761385,0.8571428571428572,0.8558341633822967,15,1,529,4,0.9375,0.9375,0.9981132075471698,0.0018867924528301887,0.7894736842105263,0.21052631578947367,0.0625
sgd,amine_and_polyamine,test_df,2,0.9908925318761385,0.8484848484848484,0.8543744673429879,14,0,530,5,1.0,1.0,1.0,0.0,0.7368421052631579,0.2631578947368421,0.0
sgd,amine_and_polyamine,test_df,3,0.9927140255009107,0.8823529411764706,0.8851892586642939,15,0,530,4,1.0,1.0,1.0,0.0,0.7894736842105263,0.21052631578947367,0.0
sgd,amine_and_polyamine,test_df,4,0.9963570127504554,0.9473684210526315,0.9454816285998013,18,1,529,1,0.9473684210526315,0.9473684210526315,0.9981132075471698,0.0018867924528301887,0.9473684210526315,0.05263157894736842,0.05263157894736842
sgd,amine_and_polyamine,test_df,5,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
sgd,amine_and_polyamine,test_df,6,0.9927140255009107,0.8823529411764706,0.8851892586642939,15,0,530,4,1.0,1.0,1.0,0.0,0.7894736842105263,0.21052631578947367,0.0
sgd,amine_and_polyamine,test_df,7,0.9963570127504554,0.9473684210526315,0.9454816285998013,18,1,529,1,0.9473684210526315,0.9473684210526315,0.9981132075471698,0.0018867924528301887,0.9473684210526315,0.05263157894736842,0.05263157894736842
sgd,amine_and_polyamine,test_df,8,0.9981785063752276,0.972972972972973,0.9724115896740338,18,0,530,1,1.0,1.0,1.0,0.0,0.9473684210526315,0.05263157894736842,0.0
sgd,amine_and_polyamine,test_df,9,0.994535519125683,0.9090909090909091,0.9103030733735102,15,0,531,3,1.0,1.0,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0
sgd,amine_and_polyamine,test_df,10,0.9963503649635036,0.9411764705882353,0.9410351753981755,16,0,530,2,1.0,1.0,1.0,0.0,0.8888888888888888,0.1111111111111111,0.0
