model_name,pw_name,dataset_name,acc,f1,mcc,tp,fp,tn,fn,recall,precision,specifity,fpr,tpr,fnr,fdr
nb,protein_modification,test_df,0.8704918032786885,0.30088495575221236,0.34754691091222767,17,75,514,4,0.8095238095238095,0.18478260869565216,0.8726655348047538,0.1273344651952462,0.8095238095238095,0.19047619047619047,0.8152173913043478
dt,protein_modification,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,protein_modification,test_df,0.9950819672131147,0.9268292682926829,0.92458080881035,19,1,588,2,0.9047619047619048,0.95,0.99830220713073,0.001697792869269949,0.9047619047619048,0.09523809523809523,0.05
svc,carotenoid,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,carotenoid,test_df,0.8114754098360656,0.23841059602649006,0.2969575414328324,18,112,477,3,0.8571428571428571,0.13846153846153847,0.8098471986417657,0.19015280135823429,0.8571428571428571,0.14285714285714285,0.8615384615384616
dt,carotenoid,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,carotenoid,test_df,0.9950819672131147,0.9268292682926829,0.92458080881035,19,1,588,2,0.9047619047619048,0.95,0.99830220713073,0.001697792869269949,0.9047619047619048,0.09523809523809523,0.05
svc,amino_acid,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,amino_acid,test_df,0.8655737704918033,0.2931034482758621,0.3404490320771,17,78,511,4,0.8095238095238095,0.17894736842105263,0.8675721561969439,0.13242784380305603,0.8095238095238095,0.19047619047619047,0.8210526315789474
dt,amino_acid,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,amino_acid,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
svc,lipid,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
nb,lipid,test_df,0.9754098360655737,0.7169811320754718,0.7218332560348849,19,13,576,2,0.9047619047619048,0.59375,0.9779286926994907,0.022071307300509338,0.9047619047619048,0.09523809523809523,0.40625
dt,lipid,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,lipid,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
