model_name,pw_name,dataset_name,fold_num,acc,f1,mcc,tp,fp,tn,fn,recall,precision,specifity,fpr,tpr,fnr,fdr
knn,amino_acid,test_df,5,0.9635701275045537,0.7435897435897436,0.7345874891077733,29,4,500,16,0.8787878787878788,0.8787878787878788,0.9920634920634921,0.007936507936507936,0.6444444444444445,0.35555555555555557,0.12121212121212122
knn,amino_acid,test_df,6,0.97632058287796,0.8395061728395062,0.8328964788300757,34,2,502,11,0.9444444444444444,0.9444444444444444,0.996031746031746,0.003968253968253968,0.7555555555555555,0.24444444444444444,0.05555555555555555
knn,amino_acid,test_df,7,0.9672131147540983,0.763157894736842,0.7611649608165516,29,2,502,16,0.9354838709677419,0.9354838709677419,0.996031746031746,0.003968253968253968,0.6444444444444445,0.35555555555555557,0.06451612903225806
knn,amino_acid,test_df,8,0.9799635701275046,0.8705882352941177,0.8615220337906093,37,3,501,8,0.925,0.925,0.9940476190476191,0.005952380952380952,0.8222222222222222,0.17777777777777778,0.075
knn,amino_acid,test_df,9,0.9836065573770492,0.8965517241379309,0.8894147954500337,39,2,501,7,0.9512195121951219,0.9512195121951219,0.9960238568588469,0.003976143141153081,0.8478260869565217,0.15217391304347827,0.04878048780487805
knn,amino_acid,test_df,10,0.9781021897810219,0.8536585365853658,0.846659099117838,35,2,501,10,0.9459459459459459,0.9459459459459459,0.9960238568588469,0.003976143141153081,0.7777777777777778,0.2222222222222222,0.05405405405405406
rf,amino_acid,test_df,1,0.9690346083788707,0.7671232876712328,0.7758346381778433,28,0,504,17,1.0,1.0,1.0,0.0,0.6222222222222222,0.37777777777777777,0.0
rf,amino_acid,test_df,2,0.9562841530054644,0.6363636363636364,0.6674238124719146,21,0,504,24,1.0,1.0,1.0,0.0,0.4666666666666667,0.5333333333333333,0.0
rf,amino_acid,test_df,3,0.9672131147540983,0.7499999999999999,0.7611243951073873,27,0,504,18,1.0,1.0,1.0,0.0,0.6,0.4,0.0
rf,amino_acid,test_df,4,0.9599271402550091,0.676470588235294,0.6998098601078601,23,0,504,22,1.0,1.0,1.0,0.0,0.5111111111111111,0.4888888888888889,0.0
rf,amino_acid,test_df,5,0.9544626593806922,0.6153846153846153,0.6507230237867724,20,0,504,25,1.0,1.0,1.0,0.0,0.4444444444444444,0.5555555555555556,0.0
rf,amino_acid,test_df,6,0.9653916211293261,0.732394366197183,0.7461821244885928,26,0,504,19,1.0,1.0,1.0,0.0,0.5777777777777777,0.4222222222222222,0.0
rf,amino_acid,test_df,7,0.9599271402550091,0.676470588235294,0.6998098601078601,23,0,504,22,1.0,1.0,1.0,0.0,0.5111111111111111,0.4888888888888889,0.0
rf,amino_acid,test_df,8,0.9635701275045537,0.7142857142857143,0.7309932592289535,25,0,504,20,1.0,1.0,1.0,0.0,0.5555555555555556,0.4444444444444444,0.0
rf,amino_acid,test_df,9,0.9672131147540983,0.7567567567567568,0.7665936733161111,28,0,503,18,1.0,1.0,1.0,0.0,0.6086956521739131,0.391304347826087,0.0
rf,amino_acid,test_df,10,0.9635036496350365,0.7142857142857143,0.7309655267057451,25,0,503,20,1.0,1.0,1.0,0.0,0.5555555555555556,0.4444444444444444,0.0
sgd,amino_acid,test_df,1,0.9599271402550091,0.7105263157894737,0.7036295672480143,27,4,500,18,0.8709677419354839,0.8709677419354839,0.9920634920634921,0.007936507936507936,0.6,0.4,0.12903225806451613
sgd,amino_acid,test_df,2,0.9526411657559198,0.6060606060606061,0.6328040398862116,20,1,503,25,0.9523809523809523,0.9523809523809523,0.998015873015873,0.001984126984126984,0.4444444444444444,0.5555555555555556,0.047619047619047616
sgd,amino_acid,test_df,3,0.9635701275045537,0.7368421052631579,0.732397264032283,28,3,501,17,0.9032258064516129,0.9032258064516129,0.9940476190476191,0.005952380952380952,0.6222222222222222,0.37777777777777777,0.0967741935483871
sgd,amino_acid,test_df,4,0.9599271402550091,0.7027027027027027,0.7012684401575804,26,3,501,19,0.896551724137931,0.896551724137931,0.9940476190476191,0.005952380952380952,0.5777777777777777,0.4222222222222222,0.10344827586206896
sgd,amino_acid,test_df,5,0.9435336976320583,0.523076923076923,0.5443995297216123,17,3,501,28,0.85,0.85,0.9940476190476191,0.005952380952380952,0.37777777777777777,0.6222222222222222,0.15
sgd,amino_acid,test_df,6,0.9617486338797814,0.7200000000000001,0.7169658635847524,27,3,501,18,0.9,0.9,0.9940476190476191,0.005952380952380952,0.6,0.4,0.1
sgd,amino_acid,test_df,7,0.9581056466302368,0.676056338028169,0.6836586222993013,24,2,502,21,0.9230769230769231,0.9230769230769231,0.996031746031746,0.003968253968253968,0.5333333333333333,0.4666666666666667,0.07692307692307693
sgd,amino_acid,test_df,8,0.9672131147540983,0.763157894736842,0.7611649608165516,29,2,502,16,0.9354838709677419,0.9354838709677419,0.996031746031746,0.003968253968253968,0.6444444444444445,0.35555555555555557,0.06451612903225806
sgd,amino_acid,test_df,9,0.9690346083788707,0.7792207792207793,0.780467260233778,30,1,502,16,0.967741935483871,0.967741935483871,0.9980119284294234,0.0019880715705765406,0.6521739130434783,0.34782608695652173,0.03225806451612903
sgd,amino_acid,test_df,10,0.9598540145985401,0.7027027027027027,0.7012324802424734,26,3,500,19,0.896551724137931,0.896551724137931,0.9940357852882704,0.005964214711729622,0.5777777777777777,0.4222222222222222,0.10344827586206896
